번호,한국어 대응 표현,수어 용례 수
1,보다,5
2,가져오다,5
3,"가족,식구,세대,가구",5
4,"갈등,마찰,거북하다,껄끄럽다",3
5,"갑자기,갑작스럽다,별안간,갑작스레",4
6,"마찬가지,피장파장,매일반,매한가지",4
7,"게으름,게으르다,게으름을 피우다,나태,태만",5
8,"계약,맺다,예매,예약",4
9,계획,3
10,공감,4
11,보도,5
12,괴팍하다,4
13,"구원,구출,구하다,건지다",3
14,"귀신,마귀,사탄,악마,유령",4
15,"그리워하다,동경,사모,그리다,그립다",4
16,"글,글자,자",3
17,등기,4
18,"깨,세부,정밀,상세하다,세밀하다,자세하다,찬찬하다,치밀하다,샅샅이,꼼꼼",4
19,"꿈,포부,꿈꾸다",4
20,농아,4
21,농구,3
22,농담,4
23,"다스리다,통치",3
24,"답답하다,갑갑하다",4
25,"대략,대강,대충,약",5
26,"대리,대신,대치,대체,전환,바꾸다",3
27,"넘어가다,대충,무성의하다",3
28,"대피,도망,도주,도피,줄행랑,탈출,내빼다,달아나다,도망가다,도망치다,빠져나가다",5
29,"동네,마을",3
30,"동기,동창,동창생",5
31,"피차,둘이",5
32,"디자인,도안,설계",5
33,"뒤따르다,수행,따라가다,따르다,좇다,쫓다,쫓아가다",3
34,"(시간)시,시간",5
35,"곤두박질,곤두질,떨어지다",3
36,"또,그리고,다시",4
37,"방어,방지,수비,막다,저지,거절,차단",4
38,떠맡다,5
39,매일,4
40,며칠,3
41,목,3
42,"몰려가다,몰려들다,쇄도",3
43,"알 수 없다,이해가 안 되다,아리송하다",3
44,미국,3
45,"넘기다,(다음으로)넘어가다",3
46,스타일,3
47,백화점,3
48,"보라,보라색",4
49,본 적 없다,5
50,부유,3
51,"부터,이래",5
52,(존재가)없다,5
53,"두근거리다,불안,설레다,울렁거리다,조마조마하다,두근두근",3
54,"망하다,멸망,붕괴,쇠망,무너지다,부서지다,허물어지다,헐다",3
55,(비가)내리다,5
56,"장애,병신,제대로 안되다",5
57,"광,광선,라이트,빛,조명,비추다,비치다",5
58,"계절,사계,사계절,사철,철,시절,철기",3
59,"가시다,사라지다,상실",5
60,사회,4
61,"관계없다,막론하다,무관하다,상관없다,상관하지 않다",5
62,"서울, 서울시",4
63,"선언,천명",5
64,"속,내부,안쪽,안",4
65,승용차,4
66,"신청,주문",4
67,"불합격,낙제,지다",3
68,"절약,검약",4
69,아들,5
70,"미-,미처,아직",4
71,아차,5
72,"어긋나다,엇갈리다",3
73,약,3
74,"예전,옛날,옛적",4
75,"곧다,단정하다,똑바르다,바르다,반듯하다,올바르다,점잖다,똑바르다,올곧다,정하다",5
76,"올해,금년,당년,올",3
77,완전하다,3
78,"왜,어째서",5
79,"욕,비난,비방,욕설,흉보다",4
80,"운동,스포츠,체육",4
81,울다,5
82,"원래,본래",3
83,"나중,밖,이후,후",4
84,"일본,왜국",3
85,"일부,일부분,부분",3
86,"간부,위원",5
87,"복장,입다",4
88,"자랑,뽐내다",3
89,썩 잘하다,5
90,(조직의)장,4
91,"전화,전화기",4
92,"단위,제한,한계,한도,한정",4
93,"가만히,조용하다",5
94,"주세요,주십시오",3
95,중앙,3
96,"지루하다,따분하다",4
97,지부,3
98,"짧다,가깝다",3
99,건청,3
100,"녹색,초록,초록색",4
101,친척,4
102,"다정,우정,우애,우의,친목,가까이하다,가깝다,단란하다,의좋다,정답다,친하다,친교",4
103,"사진기,찍다,카메라",5
104,"퍼지다,만연,분산,유포,해산,해체,번지다,옮다,흩어지다",3
105,"부진,퇴보,퇴화,하강,하락,후퇴",3
106,"한국,대한민국",5
107,"일개월,달",4
108,한자,3
109,"특히,각별,별,특별,특수,특별히",3
110,"멍청하다,생각 없다",4
111,"어느,무엇,어떤,무슨,뭐,아무,어디",5
112,"문의,물음,질문,묻다,물어보다,여쭈다,여쭙다,-ㅂ니까",5
113,"(불가능)없다,불가능",5
114,"통역,매개,변호,소개",5
115,"싫다,거부,거절,난색",4
116,"마찬가지,같다,동일,맞다,동,똑같다",5
117,"똑같다,같다,동일하다",5
118,"없다,비다",5
119,"돕다,거들다,기여,도움,보조,원조,지원,찬조",5
120,받다,3
121,"귀여워하다,귀엽다",3
122,아깝다,5
123,"변하다,변질,변화,변환,돌아서다",3
124,"기름,숙달,원활,능숙하다,매끄럽다,미끄럽다,순조롭다,자주,빈번히,낯익다",8
125,"귀찮다,불편,성가시다",4
